"url","Ulica","Povrsina","Vrsta","Korisnik","Nacin koristenja","Djelatnost"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LADISLAVA%20ŠABANA%200006","LADISLAVA ŠABANA 0006","123,62","poslovni prostor","CEDEPE - DRUŠTVO OSOBA S CEREBRALNOM I DJEČJOM PARALIZOM ZAGREB / HRVATSKE UDRUGE PARAPLEGIČARA I TETRAPLEGIČARA / SAVEZ DRUŠTAVA DISTROFIČARA HRVATSKE / ZAJEDNICA SAVEZA OSOBA S INVALIDITETOM HRVATSKE / DRUŠTVO DISTROFIČARA ZAGREB / DRUŠTVO TJELESNIH INVALIDA","ugovor o korištenju","rad udruge"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LADISLAVA%20ŠABANA%200016","LADISLAVA ŠABANA 0016","113,25","poslovni prostor","KUNKIĆ DOO","ugovor o zakupu","sportske rekreacije, fitnes i rekreativne tjelovježbe za žene i muškarce"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LADISLAVA%20ŠABANA%200016","LADISLAVA ŠABANA 0016","415,60","poslovni prostor","TAEKWONDO KLUB ""ZAGREB""","ugovor o zakupu","planiranje rada i razvitka Taekwondo sporta, treninzi članova radi pripreme na natjecanjima, organiziranje turnira, poduka i trening djece i mladeži, upravljanje sportskim objektima kojih je Klub vlasnik ili korisnik, skrb o zdravlju i zdravstvenoj zaštiti članova Kluba, dječje Taekwondo radionice, fitnes, rekreacija za odrasle"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LADISLAVA%20ŠABANA%200018","LADISLAVA ŠABANA 0018","49,06","poslovni prostor","Mafrape j.d.o.o.","ugovor o zakupu","prodaja igračaka za djecu, školski pribor (papirnica) i ostali proizvodi koji spadaju pod trgovačku djelatnost"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LADISLAVA%20ŠABANA%200026","LADISLAVA ŠABANA 0026","20,02","poslovni prostor","IŠTUK ZORKA","ugovor o zakupu","skladištenje robe"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LADISLAVA%20ŠABANA%200028","LADISLAVA ŠABANA 0028","20,03","poslovni prostor","ČOLLAK DOO","ugovor o zakupu","skladište sirovina za proizvodnju kruha, svježih peciva i kolača"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LADISLAVA%20ŠTRITOFA%200018","LADISLAVA ŠTRITOFA 0018","307,30","poslovni prostor","AB ORIGINAL d.o.o. / ŽIVOTINJSKA FARMA D.O.O.","ugovor o zakupu","trgovačke djelatnosti"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LAGINJINA%200011","LAGINJINA 0011","150,00","poslovni prostor","HRVATSKI PJEVAČKI ZBOR ""IVAN PL. ZAJC""","ugovor o korištenju","za organiziranje i provođenje redovitih proba Zbora, za uvježbavanje programa za sudjelovanje na natjecanjima, susretima i samostalnim koncertima"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LAGINJINA%200011","LAGINJINA 0011","34,00","poslovni prostor","SAVEZ FELINOLOŠKIH DRUŠTAVA HRVATSKE","ugovor o korištenju","održavanje sastanaka felinoloških društava, stručnih predavanja, pripreme međunarodnih izložbi, pripremu Mediterranean Winner Show i druge aktivnosti za promicanje felinologije u Hrvatskoj i svijetu"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=LAŠĆINSKA%20CESTA%200098/A","LAŠĆINSKA CESTA 0098/A","6.596,00","poslovni prostor","DOM ZA STARIJE OSOBE PARK","ugovor o korištenju","obavljanje registrirane djelatnosti Doma za starije osobe Park kao njegov dislocirani objekt"
