"Šifra","Naziv županije","Naziv JLS-a","2012.","2013.","2014.","2015.","2016.","2017.","2018.","2019.","""-"" označava da nema transakcija","","",""
"1147","Zagrebačka","FARKAŠEVAC","-","-","-","-","-","-","-",".","","","",""
"6190","Istarska","FAŽANA - FASANA","8,740.48 ","9,321.04 ","10,199.62 ","8,382.82 ","9,194.28 ","8,486.0","9,092.7","9,700.48","","","",""
"1155","Koprivničko-križevačka","FERDINANDOVAC","z","-","-","z","-","-","z",".","","","",""
"1163","Osječko-baranjska","FERIČANCI","-","-","-","-","-","-","-",".","","","",""
"6297","Istarska","FUNTANA - FONTANE","z","z","8,064.73 ","10,030.23 ","9,526.68 ","10,653.4","11,624.7","12,047.12","","","",""
"1171","Primorsko-goranska","FUŽINE","8,164.61 ","z","z","z","z","-","5,610.0","5,820.32","","","",""
"5711","Zadarska","GALOVAC","-","-","-","-","-","-","-",".","","","",""
"1180","Brodsko-posavska","GARČIN","-","-","z","z","-","-","z",".","","","",""
"1198","Bjelovarsko-bilogorska","GAREŠNICA","z","4,649.42 ","3,350.09 ","z","z","z","3,001.1","3,361.80","","","",""
"1201","Karlovačka","GENERALSKI STOL","-","-","-","-","-","-","-","z","","","",""
"1210","Sisačko-moslavačka","GLINA","z","z","z","-","z","z","z","z","","","",""
"1228","Koprivničko-križevačka","GOLA","z","-","z","-","-","-","z","z","","","",""
"1236","Međimurska","GORIČAN","z","-","-","-","-","-","z","z","","","",""
"1244","Osječko-baranjska","GORJANI","-","-","-","-","-","-","-",".","","","",""
"6181","Koprivničko-križevačka","GORNJA RIJEKA","z","z","-","-","-","-","-",".","","","",""
"1252","Krapinsko-zagorska","GORNJA STUBICA","-","z","-","-","-","-","z","z","","","",""
"5690","Brodsko-posavska","GORNJA VRBA","-","-","-","-","-","-","-",".","","","",""
"1279","Brodsko-posavska","GORNJI BOGIĆEVCI","-","-","-","-","-","-","-",".","","","",""
"1295","Varaždinska","GORNJI KNEGINEC","-","-","z","-","-","-","-","z","","","",""
"6041","Međimurska","GORNJI MIHALJEVEC","z","-","-","-","-","-","-","z","","","",""
"1309","Ličko-senjska","GOSPIĆ","6,119.21 ","6,159.86 ","5,314.08 ","5,365.06 ","5,047.29 ","5,166.5","4,566.1","3,144.59","","","",""
"1317","Zadarska","GRAČAC","z","z","z","z","z","-","-","z","","","",""
"1325","Istarska","GRAČIŠĆE","-","-","-","-","-","-","-",".","","","",""
"1333","Grad Zagreb","GRAD ZAGREB","9,763.10 ","9,202.80 ","8,797.67 ","8,301.80 ","8,316.35 ","9,017.4","9,458.7","10,616.12","","","",""
"1341","Splitsko-dalmatinska","GRADAC","z","z","z","z","z","z","z","z","","","",""
"1350","Zagrebačka","GRADEC","z","-","z","-","-","-","-",".","","","",""
"1368","Virovitičko-podravska","GRADINA","-","z","-","-","-","-","-",".","","","",""
"1376","Vukovarsko-srijemska","GRADIŠTE","-","-","-","z","-","-","-",".","","","",""
"1384","Istarska","GROŽNJAN - GRISIGNANA","-","-","-","z","-","-","z","z","","","",""
"1392","Bjelovarsko-bilogorska","GRUBIŠNO POLJE","z","3,765.81 ","z","-","z","z","z","3,032.24","","","",""
"1406","Brodsko-posavska","GUNDINCI","-","-","-","-","-","-","-","z","","","",""
"1414","Vukovarsko-srijemska","GUNJA","-","z","-","-","-","-","z","z","","","",""
"5100","Sisačko-moslavačka","GVOZD","-","z","-","-","z","-","z",".","","","",""
"1449","Bjelovarsko-bilogorska","HERCEGOVAC","-","z","-","-","-","-","z","z","","","",""
"1457","Koprivničko-križevačka","HLEBINE","-","-","-","-","-","-","z","z","","","",""
"1465","Krapinsko-zagorska","HRAŠĆINA","-","-","-","-","-","-","z",".","","","",""
"1481","Splitsko-dalmatinska","HRVACE","-","-","-","z","-","-","-",".","","","",""
"1490","Sisačko-moslavačka","HRVATSKA DUBICA","-","-","-","-","-","-","-","z","","","",""
"1503","Sisačko-moslavačka","HRVATSKA KOSTAJNICA","z","-","z","z","z","z","z","z","","","",""
"1520","Krapinsko-zagorska","HUM NA SUTLI","z","z","z","z","z","z","z","z","","","",""
"1538","Splitsko-dalmatinska","HVAR","10,007.88 ","12,252.56 ","12,747.42 ","z","14,776.44 ","11,589.9","13,052.2","12,210.15","","","",""
"1546","Vukovarsko-srijemska","ILOK","-","-","-","z","z","z","z",".","","","",""
"1554","Splitsko-dalmatinska","IMOTSKI","5,069.60 ","4,565.01 ","z","z","4,495.29 ","z","3,381.9","z","","","",""
"1562","Varaždinska","IVANEC","5,713.39 ","5,959.50 ","5,402.69 ","5,862.78 ","5,920.54 ","5,719.7","5,249.9","5,705.12","","","",""
"1589","Zagrebačka","IVANIĆ-GRAD","5,932.03 ","5,574.50 ","7,377.25 ","5,857.69 ","5,739.88 ","5,262.6","5,321.2","5,498.45","","","",""
"1597","Vukovarsko-srijemska","IVANKOVO","-","-","z","-","z","-","z",".","","","",""
"1619","Bjelovarsko-bilogorska","IVANSKA","-","-","-","-","-","-","-","z","","","",""
"6092","Osječko-baranjska","JAGODNJAK","-","-","-","-","-","-","-",".","","","",""
"1635","Zagrebačka","JAKOVLJE","-","z","-","-","-","-","-",".","","","",""
"1643","Požeško-slavonska","JAKŠIĆ","-","-","-","-","-","-","-",".","","","",""
"1651","Varaždinska","JALŽABET","-","-","-","-","-","-","-",".","","","",""
"5991","Dubrovačko-neretvanska","JANJINA","z","z","z","-","-","-","-",".","","","",""
"1660","Vukovarsko-srijemska","JARMINA","-","-","-","-","-","-","-",".","","","",""
"1678","Zadarska","JASENICE","z","z","z","z","576.92 ","z","z","8,827.71","","","",""
"1686","Sisačko-moslavačka","JASENOVAC","-","-","-","-","-","-","z","z","","","",""
"1694","Zagrebačka","JASTREBARSKO","z","z","z","5,191.38 ","5,023.71 ","7,167.4","5,669.2","5,578.30","","","",""
"1708","Primorsko-goranska","JELENJE","-","z","z","z","z","-","z",".","","","",""
"1716","Splitsko-dalmatinska","JELSA","z","z","z","z","z","z","z","7,407.57","","","",""
"5525","Krapinsko-zagorska","JESENJE","-","-","-","-","-","-","-",".","","","",""
"1724","Karlovačka","JOSIPDOL","-","-","z","-","-","-","z","z","","","",""
"1732","Zadarska","KALI","z","-","-","z","z","z","z","z","","","",""
"5592","Koprivničko-križevačka","KALINOVAC","-","-","-","z","z","-","z","z","","","",""
"5606","Koprivničko-križevačka","KALNIK","-","-","-","-","-","-","-",".","","","",""
"6238","Karlovačka","KAMANJE","-","-","-","-","-","-","-",".","","","",""
"1759","Istarska","KANFANAR","-","z","z","z","z","-","z","z","","","",""
"1767","Bjelovarsko-bilogorska","KAPELA","-","z","z","-","-","-","z","z","","","",""
"1775","Požeško-slavonska","KAPTOL","z","-","-","z","-","-","z",".","","","",""
"1783","Ličko-senjska","KARLOBAG","7,726.05 ","z","7,672.78 ","z","7,176.30 ","7,193.7","z","z","","","",""
"1791","Karlovačka","KARLOVAC","6,228.35 ","5,944.30 ","5,381.85 ","5,490.57 ","5,259.20 ","5,342.0","5,157.6","5,376.74","","","",""
"5967","Istarska","KAROJBA","-","-","-","z","-","-","-","z","","","",""
"1805","Primorsko-goranska","KASTAV","10,982.36 ","9,521.17 ","8,284.33 ","8,488.53 ","7,571.80 ","8,507.4","9,254.6","9,897.64","","","",""
"1813","Splitsko-dalmatinska","KAŠTELA","8,995.42 ","7,695.03 ","7,799.34 ","8,515.22 ","8,375.05 ","8,043.3","9,775.3","9,619.74","","","",""
"5975","Istarska","KAŠTELIR-LABINCI - CASTELLIERE-S. DOMENICA","z","z","9,254.83 ","z","-","z","z","z","","","",""
"1830","Šibensko-kninska","KIJEVO","-","-","-","-","-","-","-",".","","","",""
"1848","Šibensko-kninska","KISTANJE","z","-","-","-","z","-","-",".","","","",""
"1856","Brodsko-posavska","KLAKAR","-","-","-","-","-","-","z",".","","","",""
"1864","Primorsko-goranska","KLANA","z","z","z","z","-","z","z","z","","","",""
"1872","Krapinsko-zagorska","KLANJEC","z","z","-","-","z","-","-","z","","","",""
"1899","Varaždinska","KLENOVNIK","-","z","-","z","-","-","-","z","","","",""
"1902","Zagrebačka","KLINČA SELA","z","-","z","4,313.59 ","4,610.26 ","z","z","z","","","",""
"1929","Splitsko-dalmatinska","KLIS","z","z","z","9,021.07 ","8,546.10 ","9,047.8","7,295.1","9,664.84","","","",""
"1937","Zagrebačka","KLOŠTAR IVANIĆ","-","z","-","-","z","z","z","z","","","",""
"1945","Koprivničko-križevačka","KLOŠTAR PODRAVSKI","z","-","-","-","-","-","z","7.61","","","",""
"1953","Osječko-baranjska","KNEŽEVI VINOGRADI","z","-","-","z","z","-","z","z","","","",""
"1961","Šibensko-kninska","KNIN","2,363.00 ","4,483.63 ","3,462.21 ","3,954.36 ","4,140.96 ","4,573.1","3,679.2","4,912.93","","","",""
"6220","Zadarska","KOLAN","9,122.80 ","9,549.20 ","8,949.44 ","9,096.24 ","8,749.54 ","8,536.0","8,960.2","8,484.50","","","",""
"1970","Splitsko-dalmatinska","KOMIŽA","-","z","-","z","z","z","z","z","","","",""
"1988","Dubrovačko-neretvanska","KONAVLE","10,875.19 ","11,384.08 ","11,365.00 ","10,898.97 ","10,066.95 ","12,510.2","11,606.6","10,738.25","","","",""
"1996","Bjelovarsko-bilogorska","KONČANICA","-","-","-","-","-","-","-",".","","","",""
"2003","Krapinsko-zagorska","KONJŠČINA","z","z","z","z","z","z","z","z","","","",""
"2011","Koprivničko-križevačka","KOPRIVNICA","6,051.22 ","5,578.54 ","6,182.75 ","5,984.63 ","5,213.14 ","6,434.6","5,646.8","5,863.13","","","",""
"2020","Koprivničko-križevačka","KOPRIVNIČKI BREGI","z","z","-","-","z","-","z","z","","","",""
"2038","Koprivničko-križevačka","KOPRIVNIČKI IVANEC","-","-","-","-","-","-","-","z","","","",""
"2046","Dubrovačko-neretvanska","KORČULA","z","7,972.27 ","14,651.73 ","z","8,711.44 ","11,586.0","10,323.5","7,801.98","","","",""
"2054","Osječko-baranjska","KOŠKA","z","-","-","-","-","-","-","z","","","",""
"5380","Primorsko-goranska","KOSTRENA","10,409.55 ","10,579.23 ","10,606.12 ","8,740.14 ","10,215.84 ","10,030.0","9,024.7","10,892.25","","","",""
"2062","Međimurska","KOTORIBA","-","-","z","-","z","-","z",".","","","",""
"2089","Krapinsko-zagorska","KRALJEVEC NA SUTLI","-","-","-","-","-","-","-",".","","","",""
"2097","Primorsko-goranska","KRALJEVICA","7,571.82 ","z","5,999.76 ","7,016.83 ","7,411.50 ","8,004.0","7,769.8","9,038.99","","","",""
"2119","Krapinsko-zagorska","KRAPINA","6,538.23 ","7,381.01 ","6,501.86 ","6,546.63 ","5,444.64 ","6,888.6","5,485.8","5,868.88","","","",""
"2127","Krapinsko-zagorska","KRAPINSKE TOPLICE","z","z","5,845.70 ","z","z","z","5,977.1","7,142.85","","","",""
"5339","Zagrebačka","KRAŠIĆ","-","z","z","-","-","-","-","z","","","",""
"5452","Zagrebačka","KRAVARSKO","-","-","-","-","-","-","-",".","","","",""
"2135","Zagrebačka","KRIŽ","z","z","z","z","z","z","3,793.5","z","","","",""
"2143","Koprivničko-križevačka","KRIŽEVCI","5,904.11 ","5,460.61 ","6,708.54 ","5,853.07 ","5,527.57 ","5,539.7","5,622.8","5,925.76","","","",""
